lat,lon
45.40586111111111,11.867916666666668
45.40838888888889,11.902111111111111
45.40836111111111,11.902083333333334
45.40841666666667,11.902083333333334
45.4085,11.902083333333334
45.40833333333333,11.901611111111112
45.40852777777778,11.901944444444444
45.40838888888889,11.901805555555557
45.40891666666666,11.901305555555556
45.40897222222222,11.901250000000001
45.409083333333335,11.901416666666668
45.409305555555555,11.902111111111111
45.409166666666664,11.902083333333334
45.4075,11.901416666666668
45.40725,11.901388888888889
45.40591666666666,11.901055555555557
45.403055555555554,11.90025
45.40322222222222,11.899416666666665
45.40338888888889,11.89811111111111
45.4035,11.893888888888888
45.403444444444446,11.893749999999999
45.403527777777775,11.893694444444444
45.402249999999995,11.89311111111111
45.409638888888885,11.899666666666667
45.409666666666666,11.899444444444445
45.40725,11.89686111111111
45.406194444444445,11.896305555555555
45.409555555555556,11.892944444444444
45.40852777777778,11.892444444444443
45.41097222222222,11.896277777777778
45.41247222222222,11.891722222222223
45.41491666666666,11.8995
45.41327777777778,11.89686111111111
45.41463888888889,11.893166666666666
45.41772222222222,11.893222222222223
45.41061111111111,11.881277777777779
45.41147222222222,11.882444444444445
45.41155555555555,11.882305555555556
45.41108333333333,11.881833333333335
45.410333333333334,11.882611111111112
45.41036111111111,11.883166666666668
45.410583333333335,11.883333333333333
45.40988888888889,11.882972222222223
45.41,11.882861111111112
45.41002777777778,11.889555555555555
45.40719444444444,11.889
45.40713888888889,11.889888888888889
45.40861111111111,11.886138888888889
45.407555555555554,11.887444444444444
45.406555555555556,11.883305555555555
45.406888888888886,11.883805555555556
45.407888888888884,11.882777777777779
45.40747222222222,11.8855
45.40747222222222,11.885305555555554
45.40416666666667,11.888777777777777
45.40438888888889,11.888333333333334
45.405166666666666,11.886861111111111
45.40402777777778,11.887722222222221
45.40416666666667,11.887527777777777
45.40436111111111,11.887527777777777
45.40436111111111,11.88738888888889
45.401805555555555,11.889416666666666
45.401583333333335,11.889083333333334
45.40161111111111,11.889138888888889
45.40163888888889,11.888972222222222
45.40069444444444,11.88825
45.399972222222225,11.887611111111111
45.39991666666667,11.887611111111111
45.39988888888889,11.887527777777777
45.398944444444446,11.88675
45.398666666666664,11.886416666666666
45.39877777777778,11.886444444444445
45.400416666666665,11.8855
45.39977777777778,11.885472222222221
45.4,11.885166666666667
45.39977777777778,11.884166666666665
45.40025,11.884527777777777
45.40091666666667,11.884333333333332
45.403083333333335,11.88438888888889
45.40222222222222,11.883444444444445
45.402833333333334,11.883083333333333
45.40211111111111,11.881916666666667
45.402027777777775,11.881416666666667
45.401944444444446,11.880722222222223
45.39841666666667,11.878027777777778
45.39952777777778,11.87738888888889
45.39963888888889,11.875444444444446
45.40047222222222,11.875833333333334
45.40188888888889,11.872555555555556
45.403444444444446,11.8755
45.403888888888886,11.876444444444445
45.40561111111111,11.879944444444446
45.407777777777774,11.877361111111112
45.406444444444446,11.876777777777779
45.406416666666665,11.877944444444445
45.408027777777775,11.878527777777778
45.41294444444444,11.877722222222223
45.412638888888885,11.878777777777778
45.41188888888889,11.878555555555556
45.411722222222224,11.878527777777778
45.40994444444444,11.8785
45.410583333333335,11.876138888888889
45.409277777777774,11.876527777777778
45.40897222222222,11.875666666666667
45.405388888888886,11.866944444444444
45.404944444444446,11.868
45.40547222222222,11.867916666666668
45.40691666666667,11.864638888888889
45.406888888888886,11.866638888888888
45.40702777777778,11.868416666666667
45.40586111111111,11.871361111111112
45.40694444444444,11.872805555555557
45.40761111111111,11.873138888888889
45.407805555555555,11.87288888888889
45.40875,11.873194444444445
45.41116666666667,11.866694444444445
45.411249999999995,11.866666666666667
45.410805555555555,11.8675
45.410222222222224,11.868555555555556
45.40983333333333,11.869222222222223
45.40988888888889,11.869194444444444
45.409444444444446,11.87188888888889
45.40925,11.873277777777778
45.41311111111111,11.873750000000001
45.3975,11.871055555555555
45.399166666666666,11.863999999999999
45.39930555555556,11.863861111111111
45.39930555555556,11.863694444444445
45.4,11.865277777777777
45.40038888888889,11.863666666666667
45.40047222222222,11.863666666666667
45.40175,11.863666666666667
45.40425,11.863249999999999
45.40436111111111,11.863249999999999
45.404444444444444,11.863333333333333
45.40436111111111,11.86375
45.40380555555556,11.863111111111111
45.403888888888886,11.863222222222221
45.40397222222222,11.863083333333332
45.40561111111111,11.863527777777778
45.40697222222222,11.863305555555556
45.40797222222222,11.863444444444443
45.407916666666665,11.863388888888888
45.408277777777776,11.863444444444443
45.40888888888889,11.863694444444445
45.40880555555555,11.86361111111111
45.410916666666665,11.863916666666666
45.41188888888889,11.864833333333333
45.41175,11.863916666666666
45.411833333333334,11.86375
45.41202777777777,11.863833333333332
45.41188888888889,11.864138888888888
45.412,11.864166666666666
45.41222222222222,11.864083333333333
45.412305555555555,11.864027777777778
45.41341666666666,11.864166666666666
45.41455555555555,11.86425
45.41558333333333,11.863888888888889
45.41769444444444,11.863305555555556
45.41755555555555,11.863527777777778
45.41727777777778,11.865138888888888
45.416999999999994,11.864083333333333
45.416999999999994,11.863999999999999
45.41705555555556,11.863916666666666
45.41427777777778,11.875388888888889
45.41436111111111,11.875194444444444
45.41430555555555,11.87425
45.41405555555556,11.874
45.41455555555555,11.874722222222223
45.41461111111111,11.874527777777779
45.414722222222224,11.874666666666666
45.41522222222222,11.875277777777779
